'abbreviated','Shortened or contracted so that the part stands for the whole'
'ability','dynamic meaning of can or could'
'ablative','used to expresses meanings such as by N with N  or from N (where N = *noun)'
   'absence','the state of away from a person or a thing'
   'absinthe','a green aniseed flavoured liquer'
   'abosolute','complete or power'
   'absolve','blame or sin'
   'absorb','hold the attention of'
   'abstention','a deliberate decision not to vote'
   'abstract','relating to ideas or qualities rather than physical things'
   'abstacted','not paying attention to what is happening preoccupied'
   'abundance','a very large quantity'
   'abuse','use badly or wrongly'
   'absymal','very bad'
   'academia','the world of higher education or the people involved in it'
   'academy','place of study or training'
   'accede','agree to a demand or a request'
   'accelarate','begin to move more quickly'
   'ascent','a way of pronouncing a language related to a place or a social background'
   'accentuate','make more noticable'
   'acceptable','able to be aceepted'
   'acess','the means or oppurnity'
   'accession','the gaining of an important position or rank'
   'accessorize','add a fashion accessory to an item'
   'accident','an event that happens by chance'
   'acclaim','praise enthusiastically and publicly'
   'accolade','something given as a reward of excellence'
   'accommodate','provide lodging or  space for'
   'accopaniment','something that adds to or improves something else'
   'adamant','refusing to change your mind about something'
   'addendum','an extra item added at the end'
   'adduce','refer to something as evidence'
   'adept','skilled at doing something'
   'adequate','satisfactory or acceptable'
   'adherent','supporter of a party person or a set of ideas'
   'adjourn','stop a meeting or legal case with the intention of  continuing it later'
   'affable','good natured and friendly'
   'aegis','protection or backing'
   'agpe','wide open'
   'agoraphobia','abnormal fear of open or public places'
   'aileron',"a hinged part of an aircraft's wing"
   'airedale','a large rough-coated black and-tan breed of terrier'
   'albino','a person or animal born without pigment on the skin and air'
   'amputate','cut off an arm leg or similar part in a surgical operation'
   'anabaptist','a member of a protestant religious group believing that only adults should be baptized'
   'aran','having a pattern involving cable stitch and large diamond designs'
   'armada','fleet of warships'
   'attest','provide or act as a clear evidence'
   'auburn','reddish brown'
   'audit',"offical inspection of an organization's accounts"
   'auditry','relating to hearing'
   'auger','a tool resembling a corkscrew for boring holes'
   'aught','anything at all'
   'augument','increase the amount size or value of something'
   'avant-grade','new and experimental'
   'avarice','extreme greed for wealth or material things'
   'avenge','punish or harm someone in return for a wrong'
   'aver','declare to be the case'
   'avert','turn away the eyes'
   'avian','realting to birds'
   'babble','talk rapidly in a foolish or a confused way'
   'babe','attractive young women'
   'babel','confused moise made by a number of people speaking together'
   'baguette','a longbarrow French loaf of bread'
   'bandwagon','an activity or cause that has suddenly become fasionable or popular'
   'beachcomber','a person who searches beaches for valuable things'
   'baecon','a fire lit on the top of hills as a signal'
   'beagle','a small short-legged breed of hound'
   'beanfeast','first referring to an annual dinner given to employees which always featured beans and becon'
   'beatitude','very great happiness or bleesedness'
   'beautiful','Very attractive'
   'bebop','a type of jazz characterized by complex harmony and rythms'
   'beckon','gesture to someone to encourage them or tell them to approach or follow'
   'becquerel','physics unit of radioactivity in si unit'
   'beelzebub','the devil'
   'begotten','past part'
   'bevy','a large group'
   'bib',"a piece of cloth or plastic fastened under a child's chin to protect hteir clothes"
   'biceps','a large muscle in the upper arm which flexes the arm and forearm'
   'bicker','argue about unimportant thing'
   'biddy','an old woman'
   'bigamy','large in size amount or extent'
   'black ball','reject a person for membership of a private club'
   'black ice','transparent ice on a road'
   'black sheep','a person who is regarded as a source of shame or embarrassment by their family or a another group'
   'blancmange','a sweet jelly-like desert made with cornflour and milk'
   'blareney','charming or persuasive talk'
   'BM','bachelor of medicine'
   'BMA','british medical association'
   '.B-movie','a low budget movie supporting a main film ina cinema programme'
   'boa','a large snake which winds itself round its prey and crushes it to death'
   'boar','a wild pig with tusks'
   'bracelet','an ornament  band or a chain worn on wrist or arm'
   'brace','part of that strengthens or supports something'
   'bracket','a category of similar people or things'
   'brag','say something boastfully'
   'braggart','a person who boasts about something'
   'BS','british standards'
   'BSI','british standards institutions'
   'bubble and squeak','a dish of cooked cabbage fried with potatoes'
   'bubonic plauge','a form of plague passed on by eating rat fleas'
   'buckle','a flat frame with a hinged pin'
   'bucolic','relating to country life'
   'buddleia','a shrub with clusters of lilac'
